CPT only copyright 2018 American Medical Association. All rights reserved.,,,,,
,,,,,
"""2018 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)""
",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17930,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
CARDIOVASCULAR,33010,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33010,OTHER,"6,344","$619,290.70","$480,735.06"
CARDIOVASCULAR,34421,OTHER,96,"$60,833.32","$47,741.72"
CARDIOVASCULAR,34421,TOTAL,117,"$62,781.45","$49,274.45"
CARDIOVASCULAR,34451,80S,N/A,$718.67,$563.42
CARDIOVASCULAR,34451,OTHER,N/A,"$14,100.46","$10,900.21"
CARDIOVASCULAR,34451,TOTAL,13,"$14,819.13","$11,463.63"
CARDIOVASCULAR,34471,OTHER,N/A,"$1,669.38","$1,368.77"
CARDIOVASCULAR,34471,TOTAL,N/A,"$1,669.38","$1,368.77"
CARDIOVASCULAR,34490,80S,N/A,$104.65,$82.05
CARDIOVASCULAR,34490,OTHER,158,"$70,602.18","$54,945.97"
CARDIOVASCULAR,34490,TOTAL,159,"$70,706.83","$55,028.02"
CARDIOVASCULAR,34501,80S,N/A,$227.77,$177.93
CARDIOVASCULAR,34501,OTHER,14,"$11,473.04","$8,976.30"
CARDIOVASCULAR,34501,TOTAL,16,"$11,700.81","$9,154.23"
CARDIOVASCULAR,34502,80S,49,"$10,149.76","$7,948.13"
CARDIOVASCULAR,34502,OTHER,160,"$222,880.63","$174,145.55"
CARDIOVASCULAR,34502,TOTAL,209,"$233,030.39","$182,093.68"
CARDIOVASCULAR,34510,OTHER,N/A,$906.49,$710.69
CARDIOVASCULAR,34510,TOTAL,N/A,$906.49,$710.69
CARDIOVASCULAR,34520,80S,13,"$1,253.55",$976.58
CARDIOVASCULAR,34520,OTHER,36,"$24,005.11","$18,758.62"
CARDIOVASCULAR,34520,TOTAL,49,"$25,258.66","$19,735.20"
CARDIOVASCULAR,34530,80S,N/A,$65.77,$51.57
CARDIOVASCULAR,34530,OTHER,N/A,$969.81,$760.33
CARDIOVASCULAR,34530,TOTAL,N/A,"$1,035.58",$811.90
CARDIOVASCULAR,34701,80S,300,"$57,092.02","$44,112.86"
CARDIOVASCULAR,34701,OTHER,"1,027","$1,179,302.88","$916,630.62"
CARDIOVASCULAR,34701,TOTAL,"1,327","$1,236,394.90","$960,743.48"
CARDIOVASCULAR,34702,80S,20,"$5,534.55","$4,332.85"
CARDIOVASCULAR,34702,OTHER,128,"$220,419.23","$172,458.51"
CARDIOVASCULAR,34702,TOTAL,148,"$225,953.78","$176,791.36"
CARDIOVASCULAR,34703,80S,386,"$82,091.23","$64,111.74"
CARDIOVASCULAR,34703,OTHER,"1,520","$1,993,610.83","$1,550,818.89"
CARDIOVASCULAR,34703,TOTAL,"1,906","$2,075,702.06","$1,614,930.63"
CARDIOVASCULAR,34704,80S,32,"$11,647.57","$9,117.29"
CARDIOVASCULAR,34704,OTHER,155,"$345,060.88","$270,345.01"
CARDIOVASCULAR,34704,TOTAL,187,"$356,708.45","$279,462.30"
CARDIOVASCULAR,34705,80S,"3,616","$848,672.07","$661,362.43"
CARDIOVASCULAR,34705,OTHER,"14,789","$21,010,654.23","$16,372,539.87"
CARDIOVASCULAR,34705,TOTAL,"18,405","$21,859,326.30","$17,033,902.30"
CARDIOVASCULAR,34706,80S,170,"$61,295.49","$47,729.06"
CARDIOVASCULAR,34706,OTHER,757,"$1,659,864.67","$1,293,794.71"
CARDIOVASCULAR,34706,TOTAL,927,"$1,721,160.16","$1,341,523.77"
CARDIOVASCULAR,34707,80S,130,"$23,256.18","$18,083.93"
CARDIOVASCULAR,34707,OTHER,665,"$756,308.09","$589,052.03"
CARDIOVASCULAR,34707,TOTAL,795,"$779,564.27","$607,135.96"
CARDIOVASCULAR,34708,80S,16,"$4,679.82","$3,667.42"
CARDIOVASCULAR,34708,OTHER,92,"$166,796.54","$130,636.36"
CARDIOVASCULAR,34708,TOTAL,108,"$171,476.36","$134,303.78"
CARDIOVASCULAR,34709,80S,"1,150","$57,871.12","$45,097.12"
CARDIOVASCULAR,34709,OTHER,"4,698","$1,459,667.53","$1,138,630.17"
CARDIOVASCULAR,34709,TOTAL,"5,848","$1,517,538.65","$1,183,727.29"
CARDIOVASCULAR,34710,80S,225,"$26,946.65","$20,799.71"
CARDIOVASCULAR,34710,OTHER,"1,244","$928,776.36","$724,253.35"
CARDIOVASCULAR,34710,TOTAL,"1,469","$955,723.01","$745,053.06"
CARDIOVASCULAR,34711,80S,77,"$3,566.85","$2,760.12"
CARDIOVASCULAR,34711,OTHER,372,"$108,028.10","$84,249.95"
CARDIOVASCULAR,34711,TOTAL,449,"$111,594.95","$87,010.07"
CARDIOVASCULAR,34712,80S,287,"$16,292.95","$12,638.58"
CARDIOVASCULAR,34712,OTHER,"1,328","$469,410.46","$365,064.81"
CARDIOVASCULAR,34712,TOTAL,"1,615","$485,703.41","$377,703.39"
CARDIOVASCULAR,34713,80S,"1,780","$44,825.52","$34,935.88"
CARDIOVASCULAR,34713,OTHER,"9,810","$1,523,645.84","$1,189,816.76"
CARDIOVASCULAR,34713,TOTAL,"11,590","$1,568,471.36","$1,224,752.64"
CARDIOVASCULAR,34714,80S,178,"$7,027.63","$5,371.38"
CARDIOVASCULAR,34714,OTHER,406,"$116,077.72","$89,705.90"
CARDIOVASCULAR,34714,TOTAL,584,"$123,105.35","$95,077.28"
CARDIOVASCULAR,34715,80S,50,"$2,457.25","$1,924.52"
CARDIOVASCULAR,34715,OTHER,197,"$59,843.49","$46,923.99"
CARDIOVASCULAR,34715,TOTAL,247,"$62,300.74","$48,848.51"
CARDIOVASCULAR,34716,80S,239,"$13,500.48","$10,538.39"
CARDIOVASCULAR,34716,OTHER,577,"$223,367.52","$173,296.13"
CARDIOVASCULAR,34716,TOTAL,816,"$236,868.00","$183,834.52"
CARDIOVASCULAR,34803,OTHER,N/A,$0.00,$0.00
CARDIOVASCULAR,34803,TOTAL,N/A,$0.00,$0.00
CARDIOVASCULAR,34808,80S,53,"$1,729.86","$1,355.59"
CARDIOVASCULAR,34808,OTHER,"6,421","$46,510.81","$36,284.25"
CARDIOVASCULAR,34808,TOTAL,"6,474","$48,240.67","$37,639.84"
CARDIOVASCULAR,34812,80S,"2,002","$78,421.38","$61,359.30"
CARDIOVASCULAR,34812,OTHER,"7,802","$2,000,543.25","$1,560,824.64"
CARDIOVASCULAR,34812,TOTAL,"9,804","$2,078,964.63","$1,622,183.94"
CARDIOVASCULAR,34813,80S,59,"$2,170.65","$1,700.97"
CARDIOVASCULAR,34813,OTHER,224,"$54,750.68","$42,394.17"
CARDIOVASCULAR,34813,TOTAL,283,"$56,921.33","$44,095.14"
CARDIOVASCULAR,34820,80S,20,"$1,225.75",$958.35
CARDIOVASCULAR,34820,OTHER,82,"$33,302.70","$26,160.91"
CARDIOVASCULAR,34820,TOTAL,102,"$34,528.45","$27,119.26"
CARDIOVASCULAR,34830,80S,14,"$3,821.73","$2,996.24"
CARDIOVASCULAR,34830,OTHER,43,"$71,311.10","$55,853.58"
CARDIOVASCULAR,34830,TOTAL,57,"$75,132.83","$58,849.82"
CARDIOVASCULAR,34831,80S,29,"$9,104.57","$6,832.35"
CARDIOVASCULAR,34831,OTHER,93,"$179,104.67","$138,853.68"
CARDIOVASCULAR,34831,TOTAL,122,"$188,209.24","$145,686.03"
CARDIOVASCULAR,34832,80S,13,"$3,798.50","$2,975.60"
CARDIOVASCULAR,34832,OTHER,26,"$49,218.87","$38,514.29"
CARDIOVASCULAR,34832,TOTAL,39,"$53,017.37","$41,489.89"
CARDIOVASCULAR,34833,80S,17,"$1,040.55",$814.88
CARDIOVASCULAR,34833,OTHER,64,"$25,628.63","$20,068.12"
CARDIOVASCULAR,34833,TOTAL,81,"$26,669.18","$20,883.00"
CARDIOVASCULAR,34834,80S,87,"$1,826.05","$1,432.09"
CARDIOVASCULAR,34834,OTHER,441,"$57,479.87","$44,924.60"
CARDIOVASCULAR,34834,TOTAL,528,"$59,305.92","$46,356.69"
CARDIOVASCULAR,34839,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,34839,OTHER,N/A,$0.00,$0.00
CARDIOVASCULAR,34839,TOTAL,N/A,$0.00,$0.00
CARDIOVASCULAR,34841,80S,13,"$3,807.29","$2,980.20"
CARDIOVASCULAR,34841,OTHER,33,"$42,767.78","$33,502.45"
CARDIOVASCULAR,34841,TOTAL,46,"$46,575.07","$36,482.65"
CARDIOVASCULAR,34842,80S,21,"$5,349.91","$3,933.30"
CARDIOVASCULAR,34842,OTHER,85,"$120,504.34","$93,340.21"
CARDIOVASCULAR,34842,TOTAL,106,"$125,854.25","$97,273.51"
CARDIOVASCULAR,34843,80S,22,"$7,426.14","$5,822.11"
CARDIOVASCULAR,34843,OTHER,66,"$108,841.62","$84,324.48"
CARDIOVASCULAR,34843,TOTAL,88,"$116,267.76","$90,146.59"
CARDIOVASCULAR,34844,80S,N/A,"$2,802.61","$2,197.24"
CARDIOVASCULAR,34844,OTHER,86,"$155,923.06","$122,243.56"
CARDIOVASCULAR,34844,TOTAL,95,"$158,725.67","$124,440.80"
CARDIOVASCULAR,34845,80S,17,"$4,386.62","$3,439.13"
CARDIOVASCULAR,34845,OTHER,105,"$166,868.63","$130,896.87"
CARDIOVASCULAR,34845,TOTAL,122,"$171,255.25","$134,336.00"
CARDIOVASCULAR,34846,80S,131,"$43,640.53","$33,889.50"
CARDIOVASCULAR,34846,OTHER,457,"$879,930.06","$683,306.61"
CARDIOVASCULAR,34846,TOTAL,588,"$923,570.59","$717,196.11"
CARDIOVASCULAR,34847,80S,55,"$18,849.12","$14,832.81"
CARDIOVASCULAR,34847,OTHER,257,"$528,218.38","$411,201.41"
CARDIOVASCULAR,34847,TOTAL,312,"$547,067.50","$426,034.22"
CARDIOVASCULAR,34848,80S,22,"$8,645.75","$6,778.28"
CARDIOVASCULAR,34848,OTHER,213,"$539,991.87","$422,460.36"
CARDIOVASCULAR,34848,TOTAL,235,"$548,637.62","$429,238.64"
CARDIOVASCULAR,35001,80S,39,"$5,974.10","$4,694.57"
CARDIOVASCULAR,35001,SG,N/A,$0.00,$0.00
CARDIOVASCULAR,35001,OTHER,135,"$146,324.62","$113,129.91"
CARDIOVASCULAR,35001,TOTAL,174,"$152,298.72","$117,824.48"
CARDIOVASCULAR,35002,80S,N/A,$421.60,$330.54
CARDIOVASCULAR,35002,OTHER,20,"$19,893.39","$15,551.41"
CARDIOVASCULAR,35002,TOTAL,22,"$20,314.99","$15,881.95"
CARDIOVASCULAR,35005,OTHER,N/A,"$5,765.51","$4,325.45"
CARDIOVASCULAR,35005,TOTAL,N/A,"$5,765.51","$4,325.45"
CARDIOVASCULAR,35011,80S,199,"$29,272.33","$22,648.92"
CARDIOVASCULAR,35011,SG,N/A,$0.00,$0.00
CARDIOVASCULAR,35011,OTHER,"1,642","$1,686,293.10","$1,314,319.67"
CARDIOVASCULAR,35011,TOTAL,"1,841","$1,715,565.43","$1,336,968.59"
CARDIOVASCULAR,35013,80S,26,"$5,193.31","$4,062.21"
CARDIOVASCULAR,35013,OTHER,197,"$255,589.74","$197,630.12"
CARDIOVASCULAR,35013,TOTAL,223,"$260,783.05","$201,692.33"
CARDIOVASCULAR,35021,80S,14,"$1,810.05","$1,417.53"
CARDIOVASCULAR,35021,OTHER,26,"$22,890.46","$17,852.26"
CARDIOVASCULAR,35021,TOTAL,40,"$24,700.51","$19,269.79"
CARDIOVASCULAR,35022,80S,N/A,"$1,126.14",$882.90
CARDIOVASCULAR,35022,OTHER,N/A,"$9,784.98","$7,665.48"
CARDIOVASCULAR,35022,TOTAL,17,"$10,911.12","$8,548.38"
CARDIOVASCULAR,35045,80S,73,"$10,297.19","$7,984.67"
CARDIOVASCULAR,35045,SG,N/A,$0.00,$0.00
CARDIOVASCULAR,35045,OTHER,467,"$462,245.83","$360,149.39"
CARDIOVASCULAR,35045,TOTAL,540,"$472,543.02","$368,134.06"
CARDIOVASCULAR,35081,80S,290,"$76,835.19","$59,400.82"
CARDIOVASCULAR,35081,OTHER,715,"$1,212,943.24","$942,234.75"
CARDIOVASCULAR,35081,TOTAL,"1,005","$1,289,778.43","$1,001,635.57"
CARDIOVASCULAR,35082,80S,97,"$33,080.72","$25,906.01"
CARDIOVASCULAR,35082,OTHER,292,"$636,268.86","$492,373.36"
CARDIOVASCULAR,35082,TOTAL,389,"$669,349.58","$518,279.37"
CARDIOVASCULAR,35091,80S,127,"$35,026.40","$27,273.38"
CARDIOVASCULAR,35091,OTHER,402,"$684,622.00","$534,485.90"
CARDIOVASCULAR,35091,TOTAL,529,"$719,648.40","$561,759.28"
CARDIOVASCULAR,35092,80S,45,"$18,869.14","$14,704.24"
CARDIOVASCULAR,35092,OTHER,109,"$287,782.73","$225,467.58"
CARDIOVASCULAR,35092,TOTAL,154,"$306,651.87","$240,171.82"
CARDIOVASCULAR,35102,80S,156,"$47,517.83","$37,260.98"
CARDIOVASCULAR,35102,OTHER,429,"$801,116.46","$624,497.94"
CARDIOVASCULAR,35102,TOTAL,585,"$848,634.29","$661,758.92"
CARDIOVASCULAR,35103,80S,40,"$13,808.47","$10,814.96"
CARDIOVASCULAR,35103,OTHER,106,"$234,233.79","$183,232.25"
CARDIOVASCULAR,35103,TOTAL,146,"$248,042.26","$194,047.21"
CARDIOVASCULAR,35111,80S,N/A,"$1,884.40","$1,339.01"
CARDIOVASCULAR,35111,OTHER,17,"$21,936.78","$17,137.92"
CARDIOVASCULAR,35111,TOTAL,26,"$23,821.18","$18,476.93"
CARDIOVASCULAR,35112,80S,N/A,$276.37,$216.68
CARDIOVASCULAR,35112,OTHER,N/A,"$9,491.55","$7,441.37"
CARDIOVASCULAR,35112,TOTAL,N/A,"$9,767.92","$7,658.05"
CARDIOVASCULAR,35121,80S,20,"$4,635.47","$3,627.08"
CARDIOVASCULAR,35121,OTHER,63,"$97,039.67","$75,492.30"
CARDIOVASCULAR,35121,TOTAL,83,"$101,675.14","$79,119.38"
CARDIOVASCULAR,35122,80S,N/A,$826.79,$648.20
CARDIOVASCULAR,35122,OTHER,17,"$27,048.05","$21,144.34"
CARDIOVASCULAR,35122,TOTAL,20,"$27,874.84","$21,792.54"
CARDIOVASCULAR,35131,80S,37,"$7,382.86","$5,783.58"
CARDIOVASCULAR,35131,OTHER,129,"$172,638.53","$134,457.71"
CARDIOVASCULAR,35131,TOTAL,166,"$180,021.39","$140,241.29"
CARDIOVASCULAR,35132,80S,N/A,"$2,222.36","$1,742.32"
CARDIOVASCULAR,35132,OTHER,26,"$40,595.51","$30,453.13"
CARDIOVASCULAR,35132,TOTAL,35,"$42,817.87","$32,195.45"
CARDIOVASCULAR,35141,80S,475,"$73,433.60","$57,190.16"
CARDIOVASCULAR,35141,OTHER,"1,812","$1,906,368.97","$1,484,599.19"
CARDIOVASCULAR,35141,TOTAL,"2,287","$1,979,802.57","$1,541,789.35"
CARDIOVASCULAR,35142,80S,40,"$7,915.17","$5,998.43"
CARDIOVASCULAR,35142,OTHER,238,"$318,285.97","$248,704.92"
CARDIOVASCULAR,35142,TOTAL,278,"$326,201.14","$254,703.35"
CARDIOVASCULAR,35151,80S,149,"$26,942.05","$20,731.59"
CARDIOVASCULAR,35151,OTHER,534,"$655,430.04","$509,386.49"
CARDIOVASCULAR,35151,TOTAL,683,"$682,372.09","$530,118.08"
CARDIOVASCULAR,35152,80S,N/A,"$1,430.08","$1,121.18"
CARDIOVASCULAR,35152,OTHER,32,"$45,069.53","$35,161.16"
CARDIOVASCULAR,35152,TOTAL,39,"$46,499.61","$36,282.34"
CARDIOVASCULAR,35180,OTHER,N/A,"$2,714.61","$2,128.25"
CARDIOVASCULAR,35180,TOTAL,N/A,"$2,714.61","$2,128.25"
CARDIOVASCULAR,35184,80S,N/A,$234.02,$183.48
CARDIOVASCULAR,35184,OTHER,32,"$28,997.45","$21,938.79"
CARDIOVASCULAR,35184,TOTAL,34,"$29,231.47","$22,122.27"
CARDIOVASCULAR,35188,80S,N/A,$455.40,$357.03
CARDIOVASCULAR,35188,OTHER,N/A,"$10,683.17","$8,335.73"
CARDIOVASCULAR,35188,TOTAL,12,"$11,138.57","$8,692.76"
CARDIOVASCULAR,35189,80S,N/A,$292.68,$229.47
CARDIOVASCULAR,35189,OTHER,N/A,"$10,477.72","$8,214.51"
CARDIOVASCULAR,35189,TOTAL,11,"$10,770.40","$8,443.98"
CARDIOVASCULAR,35190,80S,80,"$7,645.27","$5,843.49"
CARDIOVASCULAR,35190,OTHER,609,"$429,913.49","$334,644.23"
CARDIOVASCULAR,35190,TOTAL,689,"$437,558.76","$340,487.72"
CARDIOVASCULAR,35201,80S,71,"$7,960.95","$6,129.94"
CARDIOVASCULAR,35201,OTHER,419,"$329,111.35","$257,261.77"
CARDIOVASCULAR,35201,TOTAL,490,"$337,072.30","$263,391.71"
CARDIOVASCULAR,35206,80S,184,"$18,352.12","$14,212.47"
CARDIOVASCULAR,35206,SG,N/A,$0.00,$0.00
CARDIOVASCULAR,35206,OTHER,"1,431","$1,023,840.78","$796,490.80"
CARDIOVASCULAR,35206,TOTAL,"1,615","$1,042,192.90","$810,703.27"
CARDIOVASCULAR,35207,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,35207,SG,N/A,"$1,877.16","$1,471.71"
CARDIOVASCULAR,35207,OTHER,342,"$195,795.00","$151,585.88"
CARDIOVASCULAR,35207,TOTAL,345,"$197,672.16","$153,057.59"
CARDIOVASCULAR,35211,80S,111,"$13,881.82","$10,811.30"
CARDIOVASCULAR,35211,OTHER,179,"$156,175.01","$121,895.80"
CARDIOVASCULAR,35211,TOTAL,290,"$170,056.83","$132,707.10"
CARDIOVASCULAR,35216,80S,49,"$14,493.17","$11,339.71"
CARDIOVASCULAR,35216,OTHER,230,"$422,934.49","$328,376.69"
CARDIOVASCULAR,35216,TOTAL,279,"$437,427.66","$339,716.40"
CARDIOVASCULAR,35221,80S,367,"$59,791.21","$46,754.59"
CARDIOVASCULAR,35221,OTHER,"1,576","$1,762,449.60","$1,371,288.13"
CARDIOVASCULAR,35221,TOTAL,"1,943","$1,822,240.81","$1,418,042.72"
CARDIOVASCULAR,35226,80S,476,"$50,509.16","$39,306.14"
CARDIOVASCULAR,35226,OTHER,"2,662","$1,899,168.97","$1,484,560.11"
CARDIOVASCULAR,35226,TOTAL,"3,138","$1,949,678.13","$1,523,866.25"
CARDIOVASCULAR,35231,80S,22,"$3,913.86","$2,996.48"
CARDIOVASCULAR,35231,OTHER,132,"$112,101.10","$86,741.99"
CARDIOVASCULAR,35231,TOTAL,154,"$116,014.96","$89,738.47"
CARDIOVASCULAR,35236,80S,52,"$7,304.34","$5,604.96"
CARDIOVASCULAR,35236,OTHER,418,"$398,005.42","$309,126.01"
CARDIOVASCULAR,35236,TOTAL,470,"$405,309.76","$314,730.97"
CARDIOVASCULAR,35241,80S,13,"$1,486.35","$1,165.27"
CARDIOVASCULAR,35241,OTHER,68,"$53,788.84","$42,027.18"
CARDIOVASCULAR,35241,TOTAL,81,"$55,275.19","$43,192.45"
CARDIOVASCULAR,35246,80S,N/A,$733.40,$574.98
CARDIOVASCULAR,35246,OTHER,30,"$36,247.24","$28,377.43"
CARDIOVASCULAR,35246,TOTAL,33,"$36,980.64","$28,952.41"
CARDIOVASCULAR,35251,80S,42,"$8,427.21","$6,602.76"
CARDIOVASCULAR,35251,OTHER,158,"$216,100.94","$169,496.12"
CARDIOVASCULAR,35251,TOTAL,200,"$224,528.15","$176,098.88"
CARDIOVASCULAR,35256,80S,64,"$8,647.30","$6,574.82"
CARDIOVASCULAR,35256,OTHER,323,"$280,745.17","$218,973.08"
CARDIOVASCULAR,35256,TOTAL,387,"$289,392.47","$225,547.90"
CARDIOVASCULAR,35261,80S,14,"$1,672.72","$1,264.15"
CARDIOVASCULAR,35261,OTHER,65,"$50,144.20","$38,990.60"
CARDIOVASCULAR,35261,TOTAL,79,"$51,816.92","$40,254.75"
CARDIOVASCULAR,35266,80S,86,"$7,754.23","$6,023.70"
CARDIOVASCULAR,35266,OTHER,298,"$221,935.25","$173,298.02"
CARDIOVASCULAR,35266,TOTAL,384,"$229,689.48","$179,321.72"
CARDIOVASCULAR,35271,80S,33,"$4,081.99","$3,199.45"
CARDIOVASCULAR,35271,OTHER,86,"$70,823.61","$54,977.19"
CARDIOVASCULAR,35271,TOTAL,119,"$74,905.60","$58,176.64"
CARDIOVASCULAR,35276,80S,14,"$1,857.00","$1,455.90"
CARDIOVASCULAR,35276,OTHER,49,"$54,882.59","$42,922.71"
CARDIOVASCULAR,35276,TOTAL,63,"$56,739.59","$44,378.61"
CARDIOVASCULAR,35281,80S,38,"$7,630.37","$5,980.26"
CARDIOVASCULAR,35281,OTHER,162,"$210,712.70","$161,760.74"
CARDIOVASCULAR,35281,TOTAL,200,"$218,343.07","$167,741.00"
CARDIOVASCULAR,35286,80S,148,"$16,489.25","$12,919.48"
CARDIOVASCULAR,35286,OTHER,660,"$482,555.87","$376,519.75"
CARDIOVASCULAR,35286,TOTAL,808,"$499,045.12","$389,439.23"
CARDIOVASCULAR,35301,80S,"12,658","$2,111,880.64","$1,634,772.67"
CARDIOVASCULAR,35301,OTHER,"37,390","$43,254,720.29","$33,588,883.98"
CARDIOVASCULAR,35301,TOTAL,"50,048","$45,366,600.93","$35,223,656.65"
CARDIOVASCULAR,35302,80S,522,"$80,487.92","$62,724.58"
CARDIOVASCULAR,35302,OTHER,"2,231","$2,310,966.81","$1,802,081.97"
CARDIOVASCULAR,35302,TOTAL,"2,753","$2,391,454.73","$1,864,806.55"
CARDIOVASCULAR,35303,80S,156,"$24,309.51","$19,008.32"
CARDIOVASCULAR,35303,OTHER,685,"$732,295.28","$571,155.92"
CARDIOVASCULAR,35303,TOTAL,841,"$756,604.79","$590,164.24"
CARDIOVASCULAR,35304,80S,71,"$11,921.51","$9,190.90"
CARDIOVASCULAR,35304,OTHER,262,"$295,638.79","$231,394.61"
CARDIOVASCULAR,35304,TOTAL,333,"$307,560.30","$240,585.51"
CARDIOVASCULAR,35305,80S,57,"$7,477.15","$5,858.53"
CARDIOVASCULAR,35305,OTHER,247,"$216,323.32","$168,527.43"
CARDIOVASCULAR,35305,TOTAL,304,"$223,800.47","$174,385.96"
CARDIOVASCULAR,35306,80S,N/A,$334.65,$262.36
CARDIOVASCULAR,35306,OTHER,40,"$18,347.34","$14,171.19"
CARDIOVASCULAR,35306,TOTAL,45,"$18,681.99","$14,433.55"
CARDIOVASCULAR,35311,80S,N/A,"$1,403.03","$1,099.99"
CARDIOVASCULAR,35311,OTHER,20,"$23,980.00","$18,778.28"
CARDIOVASCULAR,35311,TOTAL,27,"$25,383.03","$19,878.27"
CARDIOVASCULAR,35321,80S,36,"$4,392.80","$3,443.96"
CARDIOVASCULAR,35321,OTHER,252,"$216,830.72","$168,995.83"
CARDIOVASCULAR,35321,TOTAL,288,"$221,223.52","$172,439.79"
CARDIOVASCULAR,35331,80S,56,"$7,650.29","$5,983.48"
CARDIOVASCULAR,35331,OTHER,153,"$140,960.74","$108,643.24"
CARDIOVASCULAR,35331,TOTAL,209,"$148,611.03","$114,626.72"
CARDIOVASCULAR,35341,80S,55,"$9,360.16","$7,349.92"
CARDIOVASCULAR,35341,OTHER,167,"$176,705.80","$137,678.73"
CARDIOVASCULAR,35341,TOTAL,222,"$186,065.96","$145,028.65"
CARDIOVASCULAR,35351,80S,179,"$31,773.86","$24,636.28"
CARDIOVASCULAR,35351,OTHER,700,"$841,691.18","$651,548.27"
CARDIOVASCULAR,35351,TOTAL,879,"$873,465.04","$676,184.55"
CARDIOVASCULAR,35355,80S,718,"$97,611.38","$75,895.84"
CARDIOVASCULAR,35355,OTHER,"2,562","$2,353,915.55","$1,837,434.58"
CARDIOVASCULAR,35355,TOTAL,"3,280","$2,451,526.93","$1,913,330.42"
CARDIOVASCULAR,35361,80S,16,"$3,894.86","$3,046.30"
CARDIOVASCULAR,35361,OTHER,38,"$53,818.75","$42,102.82"
CARDIOVASCULAR,35361,TOTAL,54,"$57,713.61","$45,149.12"
CARDIOVASCULAR,35363,80S,N/A,"$1,175.16",$921.34
CARDIOVASCULAR,35363,OTHER,18,"$33,683.66","$26,292.20"
CARDIOVASCULAR,35363,TOTAL,22,"$34,858.82","$27,213.54"
CARDIOVASCULAR,35371,80S,"2,083","$206,411.88","$159,864.01"
CARDIOVASCULAR,35371,OTHER,"8,198","$5,518,939.54","$4,292,270.43"
CARDIOVASCULAR,35371,TOTAL,"10,281","$5,725,351.42","$4,452,134.44"
CARDIOVASCULAR,35372,80S,820,"$91,350.49","$71,146.41"
CARDIOVASCULAR,35372,OTHER,"3,079","$2,283,523.49","$1,777,434.93"
CARDIOVASCULAR,35372,TOTAL,"3,899","$2,374,873.98","$1,848,581.34"
CARDIOVASCULAR,35390,80S,118,"$2,788.74","$2,184.90"
CARDIOVASCULAR,35390,OTHER,414,"$67,250.37","$52,406.56"
CARDIOVASCULAR,35390,TOTAL,532,"$70,039.11","$54,591.46"
CARDIOVASCULAR,35400,80S,N/A,$102.97,$80.72
CARDIOVASCULAR,35400,OTHER,262,"$41,556.17","$32,725.92"
CARDIOVASCULAR,35400,TOTAL,266,"$41,659.14","$32,806.64"
CARDIOVASCULAR,35476,OTHER,N/A,$0.00,$0.00
CARDIOVASCULAR,35476,TOTAL,N/A,$0.00,$0.00
CARDIOVASCULAR,35500,80S,110,"$5,488.18","$4,270.51"
CARDIOVASCULAR,35500,OTHER,375,"$123,495.55","$95,510.17"
CARDIOVASCULAR,35500,TOTAL,485,"$128,983.73","$99,780.68"
CARDIOVASCULAR,35501,80S,14,"$3,156.99","$2,473.39"
CARDIOVASCULAR,35501,OTHER,75,"$107,272.55","$83,775.29"
CARDIOVASCULAR,35501,TOTAL,89,"$110,429.54","$86,248.68"
CARDIOVASCULAR,35506,80S,18,"$3,489.69","$2,732.06"
CARDIOVASCULAR,35506,OTHER,49,"$58,852.55","$46,073.85"
CARDIOVASCULAR,35506,TOTAL,67,"$62,342.24","$48,805.91"
CARDIOVASCULAR,35508,80S,N/A,$708.36,$554.63
CARDIOVASCULAR,35508,OTHER,N/A,"$8,660.04","$6,784.46"
CARDIOVASCULAR,35508,TOTAL,13,"$9,368.40","$7,339.09"
CARDIOVASCULAR,35509,80S,N/A,$788.74,$478.89
CARDIOVASCULAR,35509,OTHER,N/A,"$8,455.52","$5,669.92"
CARDIOVASCULAR,35509,TOTAL,N/A,"$9,244.26","$6,148.81"
CARDIOVASCULAR,35510,80S,N/A,"$1,200.04",$940.83
CARDIOVASCULAR,35510,OTHER,36,"$43,839.13","$33,557.12"
CARDIOVASCULAR,35510,TOTAL,43,"$45,039.17","$34,497.95"
CARDIOVASCULAR,35511,80S,N/A,$98.15,$76.95
CARDIOVASCULAR,35511,OTHER,N/A,"$2,257.97","$1,761.34"
CARDIOVASCULAR,35511,TOTAL,N/A,"$2,356.12","$1,838.29"
CARDIOVASCULAR,35512,80S,N/A,$509.14,$397.98
CARDIOVASCULAR,35512,OTHER,N/A,"$8,777.59","$6,846.03"
CARDIOVASCULAR,35512,TOTAL,N/A,"$9,286.73","$7,244.01"
CARDIOVASCULAR,35515,80S,N/A,$109.60,$85.93
CARDIOVASCULAR,35515,OTHER,N/A,"$1,925.90","$1,500.17"
CARDIOVASCULAR,35515,TOTAL,N/A,"$2,035.50","$1,586.10"
CARDIOVASCULAR,35516,80S,N/A,$389.13,$305.07
CARDIOVASCULAR,35516,OTHER,N/A,"$6,164.73","$4,833.14"
CARDIOVASCULAR,35516,TOTAL,N/A,"$6,553.86","$5,138.21"
