CPT only copyright 2017 American Medical Association. All rights reserved.,,,,,,,,
,,,,,,,,
"""2017 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17926,,,,,,,,
CARDIOVASCULAR,34201,TOTAL,"5,859","$5,047,933.87","$3,930,620.22",,,
CARDIOVASCULAR,34203,80S,386,"$38,863.82","$30,320.89",,,
CARDIOVASCULAR,34203,OTHER,"2,107","$1,535,178.62","$1,193,674.81",,,
CARDIOVASCULAR,34203,TOTAL,"2,493","$1,574,042.44","$1,223,995.70",,,
CARDIOVASCULAR,34401,80S,36,"$6,485.15","$5,138.98",,,
CARDIOVASCULAR,34401,OTHER,128,"$149,773.29","$117,233.72",,,
CARDIOVASCULAR,34401,TOTAL,164,"$156,258.44","$122,372.70",,,
CARDIOVASCULAR,34421,80S,17,"$1,440.62","$1,129.44",,,
CARDIOVASCULAR,34421,OTHER,111,"$69,460.54","$53,660.59",,,
CARDIOVASCULAR,34421,TOTAL,128,"$70,901.16","$54,790.03",,,
CARDIOVASCULAR,34451,80S,N/A,$855.69,$670.86,,,
CARDIOVASCULAR,34451,OTHER,13,"$23,203.24","$18,114.49",,,
CARDIOVASCULAR,34451,TOTAL,16,"$24,058.93","$18,785.35",,,
CARDIOVASCULAR,34471,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,34471,OTHER,11,"$8,309.73","$6,506.27",,,
CARDIOVASCULAR,34471,TOTAL,11,"$8,309.73","$6,506.27",,,
CARDIOVASCULAR,34490,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,34490,SG,N/A,"$1,232.24",$966.07,,,
CARDIOVASCULAR,34490,OTHER,152,"$65,432.34","$51,092.47",,,
CARDIOVASCULAR,34490,TOTAL,153,"$66,664.58","$52,058.54",,,
CARDIOVASCULAR,34501,80S,N/A,$125.85,$98.66,,,
CARDIOVASCULAR,34501,OTHER,20,"$14,320.53","$11,142.34",,,
CARDIOVASCULAR,34501,TOTAL,22,"$14,446.38","$11,241.00",,,
CARDIOVASCULAR,34502,80S,67,"$13,905.38","$10,691.01",,,
CARDIOVASCULAR,34502,OTHER,176,"$239,004.94","$185,720.13",,,
CARDIOVASCULAR,34502,TOTAL,243,"$252,910.32","$196,411.14",,,
CARDIOVASCULAR,34520,80S,N/A,$897.88,$700.59,,,
CARDIOVASCULAR,34520,OTHER,27,"$20,553.20","$15,973.33",,,
CARDIOVASCULAR,34520,TOTAL,35,"$21,451.08","$16,673.92",,,
CARDIOVASCULAR,34530,80S,N/A,$158.63,$124.37,,,
CARDIOVASCULAR,34530,OTHER,N/A,"$1,732.65","$1,358.39",,,
CARDIOVASCULAR,34530,TOTAL,N/A,"$1,891.28","$1,482.76",,,
CARDIOVASCULAR,34800,80S,135,"$23,586.83","$18,326.17",,,
CARDIOVASCULAR,34800,OTHER,474,"$493,832.22","$385,294.21",,,
CARDIOVASCULAR,34800,TOTAL,609,"$517,419.05","$403,620.38",,,
CARDIOVASCULAR,34802,80S,"2,479","$477,360.17","$368,660.79",,,
CARDIOVASCULAR,34802,OTHER,"10,063","$11,590,085.24","$9,003,163.09",,,
CARDIOVASCULAR,34802,TOTAL,"12,542","$12,067,445.41","$9,371,823.88",,,
CARDIOVASCULAR,34803,80S,"1,547","$310,323.25","$239,430.01",,,
CARDIOVASCULAR,34803,OTHER,"6,255","$7,548,174.85","$5,867,888.91",,,
CARDIOVASCULAR,34803,TOTAL,"7,802","$7,858,498.10","$6,107,318.92",,,
CARDIOVASCULAR,34804,80S,551,"$104,296.93","$81,022.36",,,
CARDIOVASCULAR,34804,OTHER,"2,242","$2,630,881.70","$2,054,097.82",,,
CARDIOVASCULAR,34804,TOTAL,"2,793","$2,735,178.63","$2,135,120.18",,,
CARDIOVASCULAR,34805,80S,152,"$27,377.00","$21,105.06",,,
CARDIOVASCULAR,34805,OTHER,601,"$683,795.73","$533,353.32",,,
CARDIOVASCULAR,34805,TOTAL,753,"$711,172.73","$554,458.38",,,
CARDIOVASCULAR,34806,OTHER,N/A,$481.53,$373.23,,,
CARDIOVASCULAR,34806,TOTAL,N/A,$481.53,$373.23,,,
CARDIOVASCULAR,34808,80S,69,"$2,200.91","$1,724.46",,,
CARDIOVASCULAR,34808,OTHER,326,"$68,474.23","$53,419.72",,,
CARDIOVASCULAR,34808,TOTAL,395,"$70,675.14","$55,144.18",,,
CARDIOVASCULAR,34812,80S,"2,994","$107,984.76","$83,770.73",,,
CARDIOVASCULAR,34812,OTHER,"11,907","$2,777,832.50","$2,165,298.83",,,
CARDIOVASCULAR,34812,TOTAL,"14,901","$2,885,817.26","$2,249,069.56",,,
CARDIOVASCULAR,34813,80S,84,"$3,037.50","$2,391.09",,,
CARDIOVASCULAR,34813,OTHER,306,"$73,153.58","$57,309.93",,,
CARDIOVASCULAR,34813,TOTAL,390,"$76,191.08","$59,701.02",,,
CARDIOVASCULAR,34820,80S,26,"$1,367.92","$1,071.13",,,
CARDIOVASCULAR,34820,OTHER,159,"$50,973.47","$39,904.98",,,
CARDIOVASCULAR,34820,TOTAL,185,"$52,341.39","$40,976.11",,,
CARDIOVASCULAR,34825,80S,"2,661","$160,345.38","$125,237.40",,,
CARDIOVASCULAR,34825,OTHER,"11,238","$4,203,291.12","$3,275,365.78",,,
CARDIOVASCULAR,34825,TOTAL,"13,899","$4,363,636.50","$3,400,603.18",,,
CARDIOVASCULAR,34826,80S,909,"$29,339.20","$22,957.60",,,
CARDIOVASCULAR,34826,OTHER,"3,763","$748,329.05","$583,512.45",,,
CARDIOVASCULAR,34826,TOTAL,"4,672","$777,668.25","$606,470.05",,,
CARDIOVASCULAR,34830,80S,18,"$5,113.23","$3,865.02",,,
CARDIOVASCULAR,34830,OTHER,49,"$85,159.57","$66,504.34",,,
CARDIOVASCULAR,34830,TOTAL,67,"$90,272.80","$70,369.36",,,
CARDIOVASCULAR,34831,80S,40,"$12,190.56","$9,514.76",,,
CARDIOVASCULAR,34831,OTHER,101,"$188,520.30","$146,544.32",,,
CARDIOVASCULAR,34831,TOTAL,141,"$200,710.86","$156,059.08",,,
CARDIOVASCULAR,34832,80S,N/A,"$2,734.50","$2,143.84",,,
CARDIOVASCULAR,34832,OTHER,29,"$52,283.95","$39,892.86",,,
CARDIOVASCULAR,34832,TOTAL,39,"$55,018.45","$42,036.70",,,
CARDIOVASCULAR,34833,80S,16,$787.97,$617.79,,,
CARDIOVASCULAR,34833,OTHER,96,"$33,677.78","$26,374.36",,,
CARDIOVASCULAR,34833,TOTAL,112,"$34,465.75","$26,992.15",,,
CARDIOVASCULAR,34834,80S,118,"$2,857.66","$2,222.82",,,
CARDIOVASCULAR,34834,OTHER,728,"$110,766.61","$86,487.25",,,
CARDIOVASCULAR,34834,TOTAL,846,"$113,624.27","$88,710.07",,,
CARDIOVASCULAR,34839,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,34839,OTHER,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,34839,TOTAL,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,34841,80S,N/A,"$2,736.87","$2,138.45",,,
CARDIOVASCULAR,34841,OTHER,44,"$63,298.17","$49,409.37",,,
CARDIOVASCULAR,34841,TOTAL,53,"$66,035.04","$51,547.82",,,
CARDIOVASCULAR,34842,80S,20,"$5,273.14","$4,123.05",,,
CARDIOVASCULAR,34842,OTHER,77,"$115,173.37","$89,982.12",,,
CARDIOVASCULAR,34842,TOTAL,97,"$120,446.51","$94,105.17",,,
CARDIOVASCULAR,34843,80S,N/A,"$2,363.82","$1,853.23",,,
CARDIOVASCULAR,34843,OTHER,58,"$92,436.54","$72,421.25",,,
CARDIOVASCULAR,34843,TOTAL,65,"$94,800.36","$74,274.48",,,
CARDIOVASCULAR,34844,80S,14,"$4,353.40","$3,396.29",,,
CARDIOVASCULAR,34844,OTHER,60,"$105,234.92","$82,329.24",,,
CARDIOVASCULAR,34844,TOTAL,74,"$109,588.32","$85,725.53",,,
CARDIOVASCULAR,34845,80S,25,"$8,100.31","$6,346.03",,,
CARDIOVASCULAR,34845,OTHER,79,"$125,614.31","$97,549.35",,,
CARDIOVASCULAR,34845,TOTAL,104,"$133,714.62","$103,895.38",,,
CARDIOVASCULAR,34846,80S,119,"$54,592.19","$43,082.86",,,
CARDIOVASCULAR,34846,OTHER,455,"$790,232.47","$622,692.03",,,
CARDIOVASCULAR,34846,TOTAL,574,"$844,824.66","$665,774.89",,,
CARDIOVASCULAR,34847,80S,53,"$21,076.21","$16,598.40",,,
CARDIOVASCULAR,34847,OTHER,280,"$540,365.53","$422,461.81",,,
CARDIOVASCULAR,34847,TOTAL,333,"$561,441.74","$439,060.21",,,
CARDIOVASCULAR,34848,80S,18,"$7,685.31","$5,916.93",,,
CARDIOVASCULAR,34848,OTHER,192,"$441,424.16","$345,417.56",,,
CARDIOVASCULAR,34848,TOTAL,210,"$449,109.47","$351,334.49",,,
CARDIOVASCULAR,34900,80S,154,"$21,268.87","$16,481.87",,,
CARDIOVASCULAR,34900,OTHER,797,"$702,420.09","$545,614.58",,,
CARDIOVASCULAR,34900,TOTAL,951,"$723,688.96","$562,096.45",,,
CARDIOVASCULAR,35001,80S,52,"$8,505.34","$6,654.35",,,
CARDIOVASCULAR,35001,OTHER,165,"$178,004.66","$138,259.04",,,
CARDIOVASCULAR,35001,TOTAL,217,"$186,510.00","$144,913.39",,,
CARDIOVASCULAR,35002,80S,N/A,$783.08,$613.93,,,
CARDIOVASCULAR,35002,OTHER,13,"$13,717.73","$10,906.56",,,
CARDIOVASCULAR,35002,TOTAL,18,"$14,500.81","$11,520.49",,,
CARDIOVASCULAR,35005,OTHER,N/A,"$2,941.71","$2,288.98",,,
CARDIOVASCULAR,35005,TOTAL,N/A,"$2,941.71","$2,288.98",,,
CARDIOVASCULAR,35011,80S,199,"$29,937.73","$23,155.30",,,
CARDIOVASCULAR,35011,SG,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,35011,OTHER,"1,655","$1,702,516.27","$1,321,045.28",,,
CARDIOVASCULAR,35011,TOTAL,"1,854","$1,732,454.00","$1,344,200.58",,,
CARDIOVASCULAR,35013,80S,20,"$3,807.68","$2,978.51",,,
CARDIOVASCULAR,35013,OTHER,205,"$266,582.06","$208,296.77",,,
CARDIOVASCULAR,35013,TOTAL,225,"$270,389.74","$211,275.28",,,
CARDIOVASCULAR,35021,80S,15,"$1,733.90","$1,359.39",,,
CARDIOVASCULAR,35021,OTHER,34,"$30,125.17","$23,554.02",,,
CARDIOVASCULAR,35021,TOTAL,49,"$31,859.07","$24,913.41",,,
CARDIOVASCULAR,35022,80S,N/A,$470.86,$369.18,,,
CARDIOVASCULAR,35022,OTHER,N/A,"$4,906.33","$3,846.57",,,
CARDIOVASCULAR,35022,TOTAL,N/A,"$5,377.19","$4,215.75",,,
CARDIOVASCULAR,35045,80S,75,"$10,634.38","$8,332.65",,,
CARDIOVASCULAR,35045,SG,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,35045,OTHER,409,"$408,707.25","$318,514.45",,,
CARDIOVASCULAR,35045,TOTAL,484,"$419,341.63","$326,847.10",,,
CARDIOVASCULAR,35081,80S,307,"$81,772.75","$63,246.07",,,
CARDIOVASCULAR,35081,OTHER,730,"$1,253,580.09","$974,677.37",,,
CARDIOVASCULAR,35081,TOTAL,"1,037","$1,335,352.84","$1,037,923.44",,,
CARDIOVASCULAR,35082,80S,139,"$46,996.34","$36,325.73",,,
CARDIOVASCULAR,35082,OTHER,372,"$801,676.07","$624,273.52",,,
CARDIOVASCULAR,35082,TOTAL,511,"$848,672.41","$660,599.25",,,
CARDIOVASCULAR,35091,80S,119,"$32,545.37","$25,272.23",,,
CARDIOVASCULAR,35091,OTHER,400,"$690,376.69","$538,475.34",,,
CARDIOVASCULAR,35091,TOTAL,519,"$722,922.06","$563,747.57",,,
CARDIOVASCULAR,35092,80S,29,"$12,370.10","$9,633.78",,,
CARDIOVASCULAR,35092,OTHER,124,"$321,814.48","$251,291.99",,,
CARDIOVASCULAR,35092,TOTAL,153,"$334,184.58","$260,925.77",,,
CARDIOVASCULAR,35102,80S,179,"$52,644.13","$40,725.18",,,
CARDIOVASCULAR,35102,OTHER,506,"$958,717.08","$745,021.28",,,
CARDIOVASCULAR,35102,TOTAL,685,"$1,011,361.21","$785,746.46",,,
CARDIOVASCULAR,35103,80S,26,"$9,253.14","$7,236.87",,,
CARDIOVASCULAR,35103,OTHER,117,"$261,296.55","$203,724.05",,,
CARDIOVASCULAR,35103,TOTAL,143,"$270,549.69","$210,960.92",,,
CARDIOVASCULAR,35111,80S,N/A,"$1,910.50","$1,497.85",,,
CARDIOVASCULAR,35111,OTHER,23,"$25,866.28","$20,221.08",,,
CARDIOVASCULAR,35111,TOTAL,33,"$27,776.78","$21,718.93",,,
CARDIOVASCULAR,35112,80S,N/A,$669.35,$524.77,,,
CARDIOVASCULAR,35112,OTHER,N/A,"$11,993.94","$9,403.25",,,
CARDIOVASCULAR,35112,TOTAL,N/A,"$12,663.29","$9,928.02",,,
CARDIOVASCULAR,35121,80S,30,"$7,519.20","$5,885.87",,,
CARDIOVASCULAR,35121,OTHER,77,"$115,844.23","$90,541.53",,,
CARDIOVASCULAR,35121,TOTAL,107,"$123,363.43","$96,427.40",,,
CARDIOVASCULAR,35122,80S,N/A,$355.33,$278.57,,,
CARDIOVASCULAR,35122,OTHER,N/A,"$17,961.66","$12,930.00",,,
CARDIOVASCULAR,35122,TOTAL,N/A,"$18,316.99","$13,208.57",,,
CARDIOVASCULAR,35131,80S,39,"$8,642.36","$6,716.14",,,
CARDIOVASCULAR,35131,OTHER,140,"$190,571.37","$149,620.95",,,
CARDIOVASCULAR,35131,TOTAL,179,"$199,213.73","$156,337.09",,,
CARDIOVASCULAR,35132,80S,15,"$3,717.08","$2,905.87",,,
CARDIOVASCULAR,35132,OTHER,61,"$100,599.29","$78,610.65",,,
CARDIOVASCULAR,35132,TOTAL,76,"$104,316.37","$81,516.52",,,
CARDIOVASCULAR,35141,80S,465,"$71,336.15","$55,245.17",,,
CARDIOVASCULAR,35141,OTHER,"1,905","$2,000,314.60","$1,552,500.73",,,
CARDIOVASCULAR,35141,TOTAL,"2,370","$2,071,650.75","$1,607,745.90",,,
CARDIOVASCULAR,35142,80S,68,"$13,812.28","$10,648.94",,,
CARDIOVASCULAR,35142,OTHER,280,"$371,108.88","$287,430.72",,,
CARDIOVASCULAR,35142,TOTAL,348,"$384,921.16","$298,079.66",,,
CARDIOVASCULAR,35151,80S,129,"$23,898.93","$18,394.46",,,
CARDIOVASCULAR,35151,OTHER,475,"$585,652.32","$454,194.04",,,
CARDIOVASCULAR,35151,TOTAL,604,"$609,551.25","$472,588.50",,,
CARDIOVASCULAR,35152,80S,N/A,"$1,212.20",$950.37,,,
CARDIOVASCULAR,35152,OTHER,19,"$27,707.79","$21,637.31",,,
CARDIOVASCULAR,35152,TOTAL,25,"$28,919.99","$22,587.68",,,
CARDIOVASCULAR,35180,OTHER,N/A,"$2,100.07","$1,622.84",,,
CARDIOVASCULAR,35180,TOTAL,N/A,"$2,100.07","$1,622.84",,,
CARDIOVASCULAR,35182,OTHER,N/A,$891.27,$698.76,,,
CARDIOVASCULAR,35182,TOTAL,N/A,$891.27,$698.76,,,
CARDIOVASCULAR,35184,80S,N/A,$697.35,$543.85,,,
CARDIOVASCULAR,35184,OTHER,44,"$49,021.43","$38,606.95",,,
CARDIOVASCULAR,35184,TOTAL,48,"$49,718.78","$39,150.80",,,
CARDIOVASCULAR,35188,80S,N/A,$187.87,$147.29,,,
CARDIOVASCULAR,35188,OTHER,N/A,"$8,227.54","$6,376.19",,,
CARDIOVASCULAR,35188,TOTAL,N/A,"$8,415.41","$6,523.48",,,
CARDIOVASCULAR,35189,80S,N/A,$514.05,$403.00,,,
CARDIOVASCULAR,35189,OTHER,12,"$14,397.48","$11,208.11",,,
CARDIOVASCULAR,35189,TOTAL,15,"$14,911.53","$11,611.11",,,
CARDIOVASCULAR,35190,80S,82,"$8,255.49","$6,349.28",,,
CARDIOVASCULAR,35190,OTHER,599,"$426,023.14","$329,354.59",,,
CARDIOVASCULAR,35190,TOTAL,681,"$434,278.63","$335,703.87",,,
CARDIOVASCULAR,35201,80S,72,"$8,404.51","$6,574.47",,,
CARDIOVASCULAR,35201,OTHER,443,"$357,832.33","$278,328.72",,,
CARDIOVASCULAR,35201,TOTAL,515,"$366,236.84","$284,903.19",,,
CARDIOVASCULAR,35206,80S,183,"$18,618.54","$14,402.76",,,
CARDIOVASCULAR,35206,OTHER,"1,499","$1,081,027.16","$839,025.81",,,
CARDIOVASCULAR,35206,TOTAL,"1,682","$1,099,645.70","$853,428.57",,,
CARDIOVASCULAR,35207,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,35207,OTHER,352,"$196,047.26","$151,358.13",,,
CARDIOVASCULAR,35207,TOTAL,352,"$196,047.26","$151,358.13",,,
CARDIOVASCULAR,35211,80S,114,"$13,153.71","$10,140.10",,,
CARDIOVASCULAR,35211,OTHER,186,"$151,932.77","$117,428.04",,,
CARDIOVASCULAR,35211,TOTAL,300,"$165,086.48","$127,568.14",,,
CARDIOVASCULAR,35216,80S,70,"$18,933.10","$14,827.32",,,
CARDIOVASCULAR,35216,OTHER,236,"$433,416.69","$338,752.83",,,
CARDIOVASCULAR,35216,TOTAL,306,"$452,349.79","$353,580.15",,,
CARDIOVASCULAR,35221,80S,288,"$48,047.11","$37,320.62",,,
CARDIOVASCULAR,35221,SG,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,35221,OTHER,"1,446","$1,688,978.52","$1,312,869.22",,,
CARDIOVASCULAR,35221,TOTAL,"1,734","$1,737,025.63","$1,350,189.84",,,
CARDIOVASCULAR,35226,80S,536,"$54,418.79","$42,569.87",,,
CARDIOVASCULAR,35226,OTHER,"2,829","$2,025,402.47","$1,577,227.61",,,
CARDIOVASCULAR,35226,TOTAL,"3,365","$2,079,821.26","$1,619,797.48",,,
CARDIOVASCULAR,35231,80S,19,"$2,817.90","$2,204.31",,,
CARDIOVASCULAR,35231,OTHER,119,"$105,891.77","$80,718.61",,,
CARDIOVASCULAR,35231,TOTAL,138,"$108,709.67","$82,922.92",,,
CARDIOVASCULAR,35236,80S,54,"$7,128.32","$5,526.85",,,
CARDIOVASCULAR,35236,OTHER,412,"$377,550.97","$294,104.48",,,
CARDIOVASCULAR,35236,TOTAL,466,"$384,679.29","$299,631.33",,,
CARDIOVASCULAR,35241,80S,25,"$2,757.73","$2,162.05",,,
CARDIOVASCULAR,35241,OTHER,49,"$35,745.22","$27,819.61",,,
CARDIOVASCULAR,35241,TOTAL,74,"$38,502.95","$29,981.66",,,
CARDIOVASCULAR,35246,80S,12,"$2,354.83","$1,834.25",,,
CARDIOVASCULAR,35246,OTHER,34,"$43,235.06","$33,693.43",,,
CARDIOVASCULAR,35246,TOTAL,46,"$45,589.89","$35,527.68",,,
CARDIOVASCULAR,35251,80S,39,"$7,617.44","$5,967.35",,,
CARDIOVASCULAR,35251,OTHER,142,"$178,652.97","$138,277.45",,,
CARDIOVASCULAR,35251,TOTAL,181,"$186,270.41","$144,244.80",,,
CARDIOVASCULAR,35256,80S,61,"$8,466.94","$6,525.43",,,
CARDIOVASCULAR,35256,OTHER,291,"$254,772.13","$197,998.85",,,
CARDIOVASCULAR,35256,TOTAL,352,"$263,239.07","$204,524.28",,,
CARDIOVASCULAR,35261,80S,13,"$1,381.18","$1,081.39",,,
CARDIOVASCULAR,35261,OTHER,44,"$32,472.99","$25,330.13",,,
CARDIOVASCULAR,35261,TOTAL,57,"$33,854.17","$26,411.52",,,
CARDIOVASCULAR,35266,80S,90,"$7,679.85","$6,015.43",,,
CARDIOVASCULAR,35266,OTHER,296,"$209,028.00","$162,835.97",,,
CARDIOVASCULAR,35266,TOTAL,386,"$216,707.85","$168,851.40",,,
CARDIOVASCULAR,35271,80S,57,"$6,491.17","$5,087.31",,,
CARDIOVASCULAR,35271,OTHER,112,"$91,590.18","$71,107.50",,,
CARDIOVASCULAR,35271,TOTAL,169,"$98,081.35","$76,194.81",,,
CARDIOVASCULAR,35276,80S,18,"$3,339.86","$2,618.45",,,
CARDIOVASCULAR,35276,OTHER,36,"$35,872.48","$28,100.55",,,
CARDIOVASCULAR,35276,TOTAL,54,"$39,212.34","$30,719.00",,,
CARDIOVASCULAR,35281,80S,46,"$8,986.49","$7,028.36",,,
CARDIOVASCULAR,35281,OTHER,147,"$201,967.87","$158,397.13",,,
CARDIOVASCULAR,35281,TOTAL,193,"$210,954.36","$165,425.49",,,
CARDIOVASCULAR,35286,80S,158,"$17,968.31","$13,968.01",,,
CARDIOVASCULAR,35286,OTHER,621,"$470,933.92","$364,842.22",,,
CARDIOVASCULAR,35286,TOTAL,779,"$488,902.23","$378,810.23",,,
CARDIOVASCULAR,35301,80S,"13,209","$2,221,253.12","$1,719,463.27",,,
CARDIOVASCULAR,35301,OTHER,"40,078","$46,482,882.33","$36,105,536.60",,,
CARDIOVASCULAR,35301,TOTAL,"53,287","$48,704,135.45","$37,824,999.87",,,
CARDIOVASCULAR,35302,80S,583,"$88,575.67","$69,135.81",,,
CARDIOVASCULAR,35302,OTHER,"2,289","$2,374,105.42","$1,851,910.17",,,
CARDIOVASCULAR,35302,TOTAL,"2,872","$2,462,681.09","$1,921,045.98",,,
CARDIOVASCULAR,35303,80S,170,"$26,935.28","$20,975.93",,,
CARDIOVASCULAR,35303,OTHER,796,"$859,395.60","$669,437.82",,,
CARDIOVASCULAR,35303,TOTAL,966,"$886,330.88","$690,413.75",,,
CARDIOVASCULAR,35304,80S,51,"$8,418.12","$6,570.83",,,
CARDIOVASCULAR,35304,OTHER,256,"$286,803.51","$224,282.05",,,
CARDIOVASCULAR,35304,TOTAL,307,"$295,221.63","$230,852.88",,,
CARDIOVASCULAR,35305,80S,67,"$8,615.66","$6,732.41",,,
CARDIOVASCULAR,35305,OTHER,316,"$271,492.73","$211,974.33",,,
CARDIOVASCULAR,35305,TOTAL,383,"$280,108.39","$218,706.74",,,
CARDIOVASCULAR,35306,80S,17,"$1,104.34",$860.18,,,
CARDIOVASCULAR,35306,OTHER,74,"$35,441.19","$27,387.69",,,
CARDIOVASCULAR,35306,TOTAL,91,"$36,545.53","$28,247.87",,,
CARDIOVASCULAR,35311,80S,12,"$2,679.32","$2,092.64",,,
CARDIOVASCULAR,35311,OTHER,36,"$47,090.36","$37,051.31",,,
CARDIOVASCULAR,35311,TOTAL,48,"$49,769.68","$39,143.95",,,
CARDIOVASCULAR,35321,80S,47,"$5,847.81","$4,581.38",,,
CARDIOVASCULAR,35321,OTHER,290,"$254,553.56","$197,620.08",,,
CARDIOVASCULAR,35321,TOTAL,337,"$260,401.37","$202,201.46",,,
CARDIOVASCULAR,35331,80S,67,"$10,905.03","$8,370.72",,,
CARDIOVASCULAR,35331,OTHER,185,"$177,957.34","$137,990.49",,,
CARDIOVASCULAR,35331,TOTAL,252,"$188,862.37","$146,361.21",,,
CARDIOVASCULAR,35341,80S,57,"$8,484.68","$6,636.26",,,
CARDIOVASCULAR,35341,OTHER,172,"$169,722.41","$131,712.80",,,
CARDIOVASCULAR,35341,TOTAL,229,"$178,207.09","$138,349.06",,,
CARDIOVASCULAR,35351,80S,193,"$33,589.08","$26,153.83",,,
CARDIOVASCULAR,35351,OTHER,723,"$853,589.76","$663,924.08",,,
CARDIOVASCULAR,35351,TOTAL,916,"$887,178.84","$690,077.91",,,
CARDIOVASCULAR,35355,80S,755,"$104,711.23","$81,687.10",,,
CARDIOVASCULAR,35355,OTHER,"2,636","$2,438,233.72","$1,902,885.05",,,
CARDIOVASCULAR,35355,TOTAL,"3,391","$2,542,944.95","$1,984,572.15",,,
CARDIOVASCULAR,35361,80S,14,"$2,736.21","$2,143.31",,,
CARDIOVASCULAR,35361,OTHER,30,"$39,582.54","$30,850.08",,,
CARDIOVASCULAR,35361,TOTAL,44,"$42,318.75","$32,993.39",,,
CARDIOVASCULAR,35363,80S,N/A,"$1,715.18","$1,344.70",,,
CARDIOVASCULAR,35363,OTHER,32,"$55,123.45","$42,951.53",,,
CARDIOVASCULAR,35363,TOTAL,38,"$56,838.63","$44,296.23",,,
CARDIOVASCULAR,35371,80S,"2,100","$207,365.47","$161,041.21",,,
CARDIOVASCULAR,35371,OTHER,"8,580","$5,740,164.75","$4,465,089.73",,,
CARDIOVASCULAR,35371,TOTAL,"10,680","$5,947,530.22","$4,626,130.94",,,
CARDIOVASCULAR,35372,80S,950,"$104,027.17","$80,943.65",,,
CARDIOVASCULAR,35372,OTHER,"3,376","$2,477,974.67","$1,933,588.60",,,
CARDIOVASCULAR,35372,TOTAL,"4,326","$2,582,001.84","$2,014,532.25",,,
CARDIOVASCULAR,35390,80S,174,"$4,130.91","$3,198.80",,,
CARDIOVASCULAR,35390,OTHER,550,"$89,795.38","$69,833.39",,,
CARDIOVASCULAR,35390,TOTAL,724,"$93,926.29","$73,032.19",,,
CARDIOVASCULAR,35400,80S,N/A,$244.09,$189.54,,,
CARDIOVASCULAR,35400,OTHER,349,"$54,353.23","$42,378.46",,,
CARDIOVASCULAR,35400,TOTAL,359,"$54,597.32","$42,568.00",,,
CARDIOVASCULAR,35475,OTHER,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,35475,TOTAL,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,35476,OTHER,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,35476,TOTAL,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,35500,80S,95,"$4,793.36","$3,696.32",,,
CARDIOVASCULAR,35500,OTHER,392,"$129,924.06","$100,599.21",,,
CARDIOVASCULAR,35500,TOTAL,487,"$134,717.42","$104,295.53",,,
CARDIOVASCULAR,35501,80S,26,"$5,913.30","$4,628.59",,,
CARDIOVASCULAR,35501,OTHER,82,"$123,634.36","$95,692.71",,,
CARDIOVASCULAR,35501,TOTAL,108,"$129,547.66","$100,321.30",,,
CARDIOVASCULAR,35506,80S,17,"$2,979.34","$2,205.74",,,
CARDIOVASCULAR,35506,OTHER,52,"$64,601.12","$49,898.34",,,
CARDIOVASCULAR,35506,TOTAL,69,"$67,580.46","$52,104.08",,,
CARDIOVASCULAR,35508,80S,N/A,$660.25,$517.64,,,
CARDIOVASCULAR,35508,OTHER,N/A,"$8,553.71","$6,713.79",,,
CARDIOVASCULAR,35508,TOTAL,14,"$9,213.96","$7,231.43",,,
CARDIOVASCULAR,35509,80S,N/A,"$1,307.64","$1,025.20",,,
CARDIOVASCULAR,35509,OTHER,18,"$24,551.81","$19,248.61",,,
CARDIOVASCULAR,35509,TOTAL,24,"$25,859.45","$20,273.81",,,
CARDIOVASCULAR,35510,80S,N/A,$877.79,$681.97,,,
CARDIOVASCULAR,35510,OTHER,11,"$13,897.60","$10,853.05",,,
CARDIOVASCULAR,35510,TOTAL,16,"$14,775.39","$11,535.02",,,
CARDIOVASCULAR,35511,80S,N/A,$217.64,$170.63,,,
CARDIOVASCULAR,35511,OTHER,N/A,"$3,823.99","$2,960.83",,,
CARDIOVASCULAR,35511,TOTAL,N/A,"$4,041.63","$3,131.46",,,
CARDIOVASCULAR,35512,OTHER,12,"$16,870.60","$13,061.82",,,
CARDIOVASCULAR,35512,TOTAL,12,"$16,870.60","$13,061.82",,,
CARDIOVASCULAR,35515,80S,N/A,$221.01,$173.27,,,
CARDIOVASCULAR,35515,OTHER,N/A,$847.51,$637.87,,,
CARDIOVASCULAR,35515,TOTAL,N/A,"$1,068.52",$811.14,,,
CARDIOVASCULAR,35516,OTHER,N/A,"$6,802.14","$5,311.70",,,
CARDIOVASCULAR,35516,TOTAL,N/A,"$6,802.14","$5,311.70",,,
